,Year,Rank,Title,Artist,compound,pos,neg,neu
307,2008,12,Take A Bow,Rihanna,0.9856,0.158,0.062,0.78
308,2008,13,Viva La Vida,Coldplay,-0.9085,0.023,0.053,0.924
309,2008,14,I Kissed A Girl,Katy Perry,0.9951,0.278,0.098,0.623
310,2008,15,Whatever You Like,T.I.,0.9975,0.169,0.018,0.814
311,2008,16,Disturbia,Rihanna,0.9239,0.082,0.061,0.857
312,2008,17,Don't Stop The Music,Rihanna,0.9989,0.252,0.035,0.713
313,2008,18,Pocketful Of Sunshine,Natasha Bedingfield,0.999,0.262,0.069,0.669
314,2008,19,Kiss Kiss,Chris Brown Featuring T-Pain,0.9984,0.196,0.067,0.737
315,2008,20,Closer,Ne-Yo,0.9951,0.263,0.046,0.691
316,2008,21,Bubbly,Colbie Caillat,0.987,0.149,0.021,0.83
317,2008,22,Touch My Body,Mariah Carey,0.9982,0.168,0.004,0.829
318,2008,23,4 Minutes,Madonna Featuring Justin Timberlake & Timbaland,0.8196,0.022,0.006,0.972
319,2008,24,So What,P!nk,-0.726,0.064,0.094,0.842
320,2008,25,Paralyzer,Finger Eleven,-0.529,0.06,0.073,0.867
321,2008,26,Clumsy,Fergie,0.9985,0.24,0.152,0.608
322,2008,27,I'm Yours,Jason Mraz,0.9991,0.312,0.034,0.654
323,2008,28,Leavin',Jesse McCartney,0.9694,0.111,0.077,0.812
324,2008,29,Dangerous,Kardinal Offishall Featuring Akon,-0.9993,0.076,0.24,0.685
325,2008,30,Tattoo,Jordin Sparks,0.9779,0.182,0.135,0.682
326,2008,31,See You Again,Miley Cyrus,0.973,0.111,0.052,0.837
327,2008,32,Shake It,Metro Station,-0.9947,0.132,0.31,0.558
328,2008,33,Stop And Stare,OneRepublic,-0.9775,0.056,0.153,0.791
329,2008,34,Take You There,Sean Kingston,-0.957,0.067,0.098,0.835
330,2008,35,Paper Planes,M.I.A.,0.8685,0.094,0.069,0.837
